loc,vg,evg,ivg,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
63.0,11.0,5.0,6.0,267.0,1692.74,0.03,33.53,50.49,56756.57,0.56,3153.14,63.0,10.0,0.0,31.0,30.0,51.0,153.0,114.0,16.0,0
22.0,3.0,1.0,2.0,55.0,241.58,0.12,8.64,27.97,2086.35,0.08,115.91,17.0,9.0,5.0,7.0,10.0,11.0,36.0,19.0,5.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
8.0,3.0,1.0,3.0,48.0,214.05,0.08,12.0,17.84,2568.63,0.07,142.7,8.0,0.0,0.0,0.0,11.0,11.0,24.0,24.0,5.0,0
142.0,73.0,15.0,60.0,1061.0,8015.42,0.02,60.04,133.5,481241.52,2.67,26735.64,139.0,0.0,3.0,8.0,36.0,152.0,554.0,507.0,143.0,0
58.0,72.0,70.0,71.0,483.0,2980.07,0.03,33.23,89.69,99019.72,0.99,5501.1,58.0,0.0,0.0,2.0,17.0,55.0,268.0,215.0,143.0,0
22.0,14.0,9.0,1.0,102.0,500.5,0.03,31.95,15.66,15993.34,0.17,888.52,21.0,4.0,1.0,4.0,19.0,11.0,65.0,37.0,27.0,0
29.0,8.0,6.0,6.0,141.0,765.1,0.04,26.96,28.38,20624.52,0.26,1145.81,29.0,0.0,0.0,1.0,20.0,23.0,79.0,62.0,15.0,0
44.0,6.0,1.0,3.0,202.0,1183.31,0.06,16.4,72.17,19400.82,0.39,1077.82,44.0,15.0,0.0,15.0,15.0,43.0,108.0,94.0,11.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
5.0,1.0,1.0,1.0,7.0,19.65,0.5,2.0,9.83,39.3,0.01,2.18,5.0,0.0,0.0,1.0,4.0,3.0,4.0,3.0,1.0,0
7.0,1.0,1.0,1.0,28.0,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7.0,9.0,0.0,6.0,7.0,10.0,16.0,12.0,1.0,0
8.0,1.0,1.0,1.0,25.0,97.67,0.18,5.71,17.09,558.13,0.03,31.01,8.0,9.0,0.0,5.0,8.0,7.0,15.0,10.0,1.0,0
16.0,1.0,1.0,1.0,54.0,244.27,0.12,8.08,30.24,1972.97,0.08,109.61,16.0,12.0,0.0,11.0,10.0,13.0,33.0,21.0,1.0,0
7.0,1.0,1.0,1.0,28.0,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7.0,9.0,0.0,6.0,7.0,10.0,16.0,12.0,1.0,0
8.0,1.0,1.0,1.0,25.0,97.67,0.18,5.71,17.09,558.13,0.03,31.01,8.0,9.0,0.0,5.0,8.0,7.0,15.0,10.0,1.0,0
9.0,1.0,1.0,1.0,31.0,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9.0,16.0,0.0,10.0,10.0,9.0,20.0,11.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
3.0,1.0,1.0,1.0,29.0,118.54,0.16,6.43,18.44,762.02,0.04,42.33,3.0,0.0,0.0,1.0,10.0,7.0,20.0,9.0,1.0,0
3.0,1.0,1.0,1.0,4.0,8.0,0.67,1.5,5.33,12.0,0.0,0.67,3.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,0
23.0,3.0,1.0,3.0,100.0,495.42,0.08,13.2,37.53,6539.54,0.17,363.31,23.0,2.0,0.0,7.0,11.0,20.0,52.0,48.0,5.0,0
14.0,2.0,1.0,2.0,63.0,272.28,0.07,15.0,18.15,4084.22,0.09,226.9,14.0,0.0,0.0,2.0,10.0,10.0,33.0,30.0,3.0,0
3.0,1.0,1.0,1.0,5.0,11.61,0.67,1.5,7.74,17.41,0.0,0.97,3.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,0
0.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,0
27.0,8.0,1.0,8.0,127.0,713.07,0.04,22.41,31.82,15978.01,0.24,887.67,27.0,0.0,0.0,2.0,22.0,27.0,72.0,55.0,15.0,0
18.0,5.0,3.0,3.0,97.0,512.67,0.05,18.86,27.19,9667.76,0.17,537.1,18.0,3.0,0.0,9.0,18.0,21.0,53.0,44.0,9.0,0
53.0,3.0,3.0,2.0,296.0,1907.11,0.06,16.76,113.81,31957.74,0.64,1775.43,51.0,26.0,2.0,48.0,17.0,70.0,158.0,138.0,5.0,0
253.0,33.0,13.0,27.0,1054.0,8002.45,0.01,72.75,109.99,582205.62,2.67,32344.76,218.0,159.0,35.0,17.0,47.0,146.0,602.0,452.0,51.0,0
11.0,2.0,1.0,2.0,40.0,180.94,0.15,6.87,26.32,1243.98,0.06,69.11,11.0,14.0,0.0,7.0,11.0,12.0,25.0,15.0,3.0,0
10.0,1.0,1.0,1.0,39.0,162.63,0.17,5.73,28.4,931.41,0.05,51.74,10.0,9.0,0.0,7.0,7.0,11.0,21.0,18.0,1.0,0
17.0,1.0,1.0,1.0,60.0,285.29,0.1,10.21,27.93,2914.07,0.1,161.89,17.0,18.0,0.0,11.0,13.0,14.0,38.0,22.0,1.0,0
11.0,2.0,1.0,2.0,40.0,180.94,0.15,6.87,26.32,1243.98,0.06,69.11,11.0,14.0,0.0,7.0,11.0,12.0,25.0,15.0,3.0,0
10.0,1.0,1.0,1.0,39.0,162.63,0.17,5.73,28.4,931.41,0.05,51.74,10.0,9.0,0.0,7.0,7.0,11.0,21.0,18.0,1.0,0
15.0,1.0,1.0,1.0,48.0,210.83,0.12,8.18,25.77,1724.98,0.07,95.83,15.0,12.0,0.0,14.0,10.0,11.0,30.0,18.0,1.0,0
19.0,3.0,1.0,3.0,134.0,727.12,0.09,10.84,67.09,7881.04,0.24,437.84,19.0,0.0,0.0,3.0,12.0,31.0,78.0,56.0,5.0,0
28.0,2.0,1.0,2.0,175.0,955.4,0.07,14.63,65.33,13972.73,0.32,776.26,26.0,0.0,2.0,10.0,12.0,32.0,97.0,78.0,3.0,0
4.0,1.0,1.0,1.0,11.0,34.87,0.4,2.5,13.95,87.17,0.01,4.84,4.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0,1.0,0
4.0,1.0,1.0,1.0,12.0,39.86,0.33,3.0,13.29,119.59,0.01,6.64,2.0,3.0,2.0,1.0,6.0,4.0,8.0,4.0,1.0,0
62.0,6.0,1.0,5.0,268.0,1703.82,0.04,25.45,66.95,43359.38,0.57,2408.85,59.0,6.0,3.0,16.0,24.0,58.0,145.0,123.0,11.0,0
3.0,2.0,1.0,2.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,3.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,3.0,0
0.0,1.0,1.0,1.0,5.0,11.61,0.5,2.0,5.8,23.22,0.0,1.29,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,0
13.0,3.0,1.0,3.0,50.0,219.62,0.09,10.91,20.13,2395.81,0.07,133.1,13.0,1.0,0.0,2.0,10.0,11.0,26.0,24.0,5.0,0
16.0,2.0,1.0,2.0,185.0,1003.86,0.06,16.47,60.96,16530.21,0.33,918.35,16.0,8.0,0.0,10.0,13.0,30.0,109.0,76.0,3.0,0
5.0,1.0,1.0,1.0,12.0,39.86,0.21,4.67,8.54,186.03,0.01,10.33,5.0,0.0,0.0,2.0,7.0,3.0,8.0,4.0,1.0,0
15.0,3.0,1.0,2.0,45.0,200.67,0.1,10.5,19.11,2107.08,0.07,117.06,14.0,0.0,1.0,2.0,11.0,11.0,24.0,21.0,5.0,0
91.0,16.0,7.0,10.0,424.0,2581.08,0.02,58.5,44.12,150993.43,0.86,8388.52,83.0,19.0,8.0,42.0,26.0,42.0,235.0,189.0,24.0,0
26.0,5.0,1.0,5.0,86.0,460.75,0.09,10.67,43.17,4917.61,0.15,273.2,26.0,18.0,0.0,14.0,15.0,26.0,49.0,37.0,9.0,0
11.0,1.0,1.0,1.0,44.0,196.21,0.25,3.94,49.83,772.6,0.07,42.92,10.0,15.0,1.0,11.0,6.0,16.0,23.0,21.0,1.0,0
16.0,1.0,1.0,1.0,54.0,244.27,0.11,9.17,26.65,2239.16,0.08,124.4,16.0,15.0,0.0,12.0,11.0,12.0,34.0,20.0,1.0,0
26.0,5.0,1.0,5.0,86.0,460.75,0.09,10.67,43.17,4917.61,0.15,273.2,26.0,18.0,0.0,14.0,15.0,26.0,49.0,37.0,9.0,0
11.0,1.0,1.0,1.0,44.0,193.26,0.24,4.2,46.01,811.7,0.06,45.09,10.0,15.0,1.0,13.0,6.0,15.0,23.0,21.0,1.0,0
17.0,1.0,1.0,1.0,60.0,285.29,0.1,10.21,27.93,2914.07,0.1,161.89,17.0,18.0,0.0,11.0,13.0,14.0,38.0,22.0,1.0,0
20.0,9.0,9.0,4.0,115.0,616.12,0.05,19.57,31.49,12054.49,0.21,669.69,20.0,5.0,0.0,11.0,18.0,23.0,65.0,50.0,17.0,0
23.0,3.0,3.0,3.0,107.0,557.41,0.06,16.37,34.03,9130.93,0.19,507.27,22.0,1.0,1.0,3.0,16.0,21.0,64.0,43.0,5.0,0
30.0,7.0,5.0,5.0,124.0,688.77,0.07,13.68,50.36,9420.58,0.23,523.37,29.0,0.0,1.0,11.0,16.0,31.0,71.0,53.0,13.0,0
29.0,6.0,5.0,2.0,159.0,873.2,0.04,24.0,36.38,20956.91,0.29,1164.27,29.0,6.0,0.0,9.0,18.0,27.0,87.0,72.0,11.0,0
8.0,1.0,1.0,1.0,25.0,97.67,0.27,3.67,26.64,358.13,0.03,19.9,6.0,2.0,2.0,1.0,6.0,9.0,14.0,11.0,1.0,0
8.0,2.0,1.0,1.0,27.0,114.69,0.15,6.67,17.2,764.63,0.04,42.48,8.0,0.0,0.0,0.0,10.0,9.0,15.0,12.0,3.0,0
43.0,13.0,3.0,9.0,176.0,1047.94,0.05,20.63,50.81,21613.73,0.35,1200.76,43.0,0.0,0.0,1.0,22.0,40.0,101.0,75.0,19.0,0
45.0,12.0,1.0,5.0,221.0,1359.09,0.03,28.6,47.52,38870.09,0.45,2159.45,43.0,2.0,2.0,4.0,26.0,45.0,122.0,99.0,20.0,0
21.0,8.0,4.0,2.0,83.0,411.2,0.04,26.13,15.74,10742.56,0.14,596.81,20.0,1.0,1.0,4.0,19.0,12.0,50.0,33.0,15.0,0
3.0,1.0,1.0,1.0,19.0,63.12,0.33,3.0,21.04,189.35,0.02,10.52,3.0,0.0,0.0,0.0,4.0,6.0,10.0,9.0,1.0,0
33.0,9.0,1.0,6.0,96.0,484.26,0.1,10.0,48.43,4842.62,0.16,269.03,33.0,5.0,0.0,13.0,11.0,22.0,56.0,40.0,17.0,0
46.0,8.0,1.0,5.0,176.0,1022.09,0.04,24.91,41.03,25462.18,0.34,1414.57,45.0,7.0,1.0,23.0,22.0,34.0,99.0,77.0,11.0,0
18.0,6.0,1.0,4.0,75.0,360.55,0.11,8.89,40.56,3204.9,0.12,178.05,15.0,5.0,3.0,3.0,10.0,18.0,43.0,32.0,11.0,0
45.0,5.0,1.0,3.0,128.0,736.63,0.07,14.66,50.26,10796.83,0.25,599.82,36.0,0.0,9.0,1.0,19.0,35.0,74.0,54.0,13.0,0
19.0,2.0,1.0,1.0,118.0,636.29,0.06,16.62,38.3,10572.26,0.21,587.35,16.0,16.0,3.0,17.0,16.0,26.0,64.0,54.0,3.0,0
8.0,1.0,1.0,1.0,33.0,142.62,0.21,4.67,30.56,665.58,0.05,36.98,8.0,12.0,0.0,8.0,8.0,12.0,19.0,14.0,1.0,0
5.0,1.0,1.0,1.0,13.0,43.19,0.27,3.75,11.52,161.94,0.01,9.0,4.0,1.0,1.0,2.0,6.0,4.0,8.0,5.0,1.0,0
11.0,1.0,1.0,1.0,41.0,190.4,0.14,6.92,27.5,1318.14,0.06,73.23,11.0,18.0,0.0,11.0,12.0,13.0,26.0,15.0,1.0,0
8.0,1.0,1.0,1.0,33.0,142.62,0.21,4.67,30.56,665.58,0.05,36.98,8.0,12.0,0.0,8.0,8.0,12.0,19.0,14.0,1.0,0
5.0,1.0,1.0,1.0,13.0,43.19,0.27,3.75,11.52,161.94,0.01,9.0,4.0,1.0,1.0,2.0,6.0,4.0,8.0,5.0,1.0,0
16.0,1.0,1.0,1.0,54.0,244.27,0.11,9.17,26.65,2239.16,0.08,124.4,16.0,15.0,0.0,12.0,11.0,12.0,34.0,20.0,1.0,0
19.0,3.0,1.0,2.0,161.0,899.18,0.06,15.45,58.18,13896.4,0.3,772.02,19.0,13.0,0.0,12.0,15.0,33.0,93.0,68.0,5.0,0
27.0,3.0,1.0,3.0,110.0,554.88,0.08,12.29,45.16,6817.14,0.18,378.73,27.0,1.0,0.0,4.0,12.0,21.0,67.0,43.0,5.0,0
10.0,1.0,1.0,1.0,37.0,148.0,0.14,7.0,21.14,1036.0,0.05,57.56,9.0,2.0,1.0,3.0,8.0,8.0,23.0,14.0,1.0,0
7.0,2.0,1.0,2.0,40.0,175.69,0.16,6.38,27.56,1120.04,0.06,62.22,7.0,3.0,0.0,1.0,9.0,12.0,23.0,17.0,3.0,0
17.0,4.0,1.0,3.0,63.0,284.98,0.09,11.15,25.55,3178.67,0.09,176.59,17.0,0.0,0.0,0.0,10.0,13.0,34.0,29.0,7.0,0
8.0,1.0,1.0,1.0,51.0,216.64,0.22,4.46,48.53,967.16,0.07,53.73,8.0,0.0,0.0,0.0,5.0,14.0,26.0,25.0,1.0,0
21.0,8.0,4.0,2.0,83.0,411.2,0.04,26.13,15.74,10742.56,0.14,596.81,20.0,1.0,1.0,4.0,19.0,12.0,50.0,33.0,15.0,0
13.0,3.0,3.0,3.0,53.0,249.12,0.08,12.83,19.41,3197.08,0.08,177.62,13.0,0.0,0.0,1.0,14.0,12.0,31.0,22.0,5.0,0
27.0,8.0,4.0,6.0,105.0,579.97,0.06,16.8,34.52,9743.56,0.19,541.31,25.0,0.0,2.0,9.0,21.0,25.0,65.0,40.0,12.0,0
14.0,1.0,1.0,1.0,99.0,499.4,0.08,12.86,38.84,6420.79,0.17,356.71,14.0,10.0,0.0,22.0,12.0,21.0,54.0,45.0,1.0,0
14.0,5.0,1.0,2.0,66.0,317.29,0.05,20.0,15.86,6345.71,0.11,352.54,12.0,4.0,2.0,6.0,16.0,12.0,36.0,30.0,9.0,0
28.0,3.0,1.0,2.0,123.0,667.43,0.11,8.79,75.95,5865.3,0.22,325.85,27.0,9.0,1.0,14.0,10.0,33.0,65.0,58.0,5.0,0
25.0,6.0,5.0,3.0,93.0,494.94,0.09,11.31,43.77,5596.62,0.16,310.92,18.0,1.0,7.0,2.0,14.0,26.0,51.0,42.0,11.0,0
19.0,5.0,1.0,2.0,91.0,437.47,0.04,24.81,17.63,10852.6,0.15,602.92,16.0,1.0,3.0,5.0,15.0,13.0,48.0,43.0,9.0,0
7.0,1.0,1.0,1.0,28.0,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7.0,9.0,0.0,6.0,7.0,10.0,16.0,12.0,1.0,0
6.0,1.0,1.0,1.0,17.0,56.47,0.19,5.25,10.76,296.48,0.02,16.47,4.0,0.0,2.0,2.0,6.0,4.0,10.0,7.0,1.0,0
9.0,1.0,1.0,1.0,31.0,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9.0,13.0,0.0,9.0,10.0,9.0,20.0,11.0,1.0,0
7.0,1.0,1.0,1.0,28.0,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7.0,9.0,0.0,6.0,7.0,10.0,16.0,12.0,1.0,0
6.0,1.0,1.0,1.0,17.0,56.47,0.19,5.25,10.76,296.48,0.02,16.47,4.0,0.0,2.0,2.0,6.0,4.0,10.0,7.0,1.0,0
7.0,1.0,1.0,1.0,29.0,120.93,0.16,6.25,19.35,755.8,0.04,41.99,7.0,12.0,0.0,12.0,10.0,8.0,19.0,10.0,1.0,0
32.0,9.0,1.0,7.0,98.0,498.57,0.1,9.8,50.85,4888.17,0.17,271.56,32.0,4.0,0.0,13.0,11.0,23.0,57.0,41.0,17.0,0
32.0,7.0,1.0,3.0,120.0,642.91,0.06,16.96,37.91,10903.69,0.21,605.76,32.0,8.0,0.0,19.0,16.0,25.0,67.0,53.0,13.0,0
64.0,8.0,4.0,2.0,275.0,1662.21,0.02,40.3,41.25,66987.0,0.55,3721.5,62.0,35.0,2.0,19.0,26.0,40.0,151.0,124.0,15.0,0
7.0,2.0,1.0,2.0,16.0,57.36,0.33,3.0,19.12,172.08,0.02,9.56,7.0,0.0,0.0,2.0,6.0,6.0,10.0,6.0,3.0,0
4.0,2.0,1.0,2.0,13.0,44.97,0.19,5.25,8.57,236.11,0.01,13.12,4.0,0.0,0.0,0.0,7.0,4.0,7.0,6.0,3.0,0
5.0,1.0,1.0,1.0,13.0,43.19,0.17,5.83,7.4,251.91,0.01,14.0,5.0,1.0,0.0,0.0,7.0,3.0,8.0,5.0,1.0,0
10.0,2.0,1.0,2.0,54.0,247.59,0.15,6.5,38.09,1609.32,0.08,89.41,10.0,0.0,0.0,1.0,8.0,16.0,28.0,26.0,3.0,0
10.0,4.0,1.0,1.0,48.0,200.16,0.04,23.4,8.55,4683.66,0.07,260.2,10.0,0.0,0.0,1.0,13.0,5.0,30.0,18.0,7.0,0
13.0,7.0,4.0,7.0,91.0,450.83,0.03,30.08,14.99,13562.53,0.15,753.47,13.0,0.0,0.0,2.0,19.0,12.0,53.0,38.0,13.0,0
8.0,4.0,1.0,4.0,28.0,106.61,0.22,4.5,23.69,479.73,0.04,26.65,5.0,5.0,3.0,6.0,6.0,8.0,16.0,12.0,7.0,0
18.0,5.0,3.0,2.0,72.0,356.7,0.07,13.59,26.25,4846.95,0.12,269.28,14.0,6.0,4.0,10.0,14.0,17.0,39.0,33.0,9.0,0
5.0,1.0,1.0,1.0,12.0,38.04,0.32,3.12,12.17,118.87,0.01,6.6,5.0,1.0,0.0,2.0,5.0,4.0,7.0,5.0,1.0,0
5.0,1.0,1.0,1.0,12.0,38.04,0.32,3.12,12.17,118.87,0.01,6.6,5.0,1.0,0.0,2.0,5.0,4.0,7.0,5.0,1.0,0
11.0,1.0,1.0,1.0,41.0,190.4,0.14,6.92,27.5,1318.14,0.06,73.23,11.0,18.0,0.0,11.0,12.0,13.0,26.0,15.0,1.0,0
24.0,7.0,4.0,5.0,93.0,504.64,0.06,15.65,32.24,7898.75,0.17,438.82,22.0,0.0,2.0,8.0,20.0,23.0,57.0,36.0,11.0,0
12.0,3.0,3.0,1.0,36.0,152.93,0.13,7.78,19.66,1189.42,0.05,66.08,12.0,4.0,0.0,3.0,10.0,9.0,22.0,14.0,5.0,0
3.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,1.0,0.0,2.0,0.0,5.0,5.0,8.0,6.0,1.0,0
64.0,8.0,4.0,2.0,260.0,1565.82,0.03,37.19,42.11,58228.77,0.52,3234.93,62.0,38.0,2.0,19.0,25.0,40.0,141.0,119.0,15.0,0
12.0,3.0,1.0,2.0,58.0,284.6,0.09,11.09,25.67,3155.71,0.09,175.32,11.0,0.0,1.0,0.0,13.0,17.0,29.0,29.0,5.0,0
19.0,9.0,6.0,4.0,145.0,786.81,0.04,27.71,28.4,21801.15,0.26,1211.17,19.0,0.0,0.0,2.0,19.0,24.0,75.0,70.0,17.0,0
0.0,2.0,1.0,1.0,12.0,39.86,0.33,3.0,13.29,119.59,0.01,6.64,0.0,0.0,0.0,0.0,6.0,4.0,8.0,4.0,3.0,0
46.0,14.0,9.0,4.0,238.0,1533.42,0.04,22.38,68.52,34316.47,0.51,1906.47,46.0,8.0,0.0,42.0,25.0,62.0,127.0,111.0,27.0,0
72.0,21.0,1.0,6.0,371.0,2431.75,0.06,16.92,143.69,41152.73,0.81,2286.26,62.0,16.0,10.0,10.0,16.0,78.0,206.0,165.0,41.0,0
47.0,10.0,9.0,7.0,230.0,1414.44,0.06,15.9,88.97,22487.01,0.47,1249.28,47.0,15.0,0.0,18.0,17.0,54.0,129.0,101.0,19.0,0
72.0,3.0,1.0,1.0,412.0,2681.21,0.05,19.74,135.85,52918.65,0.89,2939.92,65.0,5.0,7.0,10.0,15.0,76.0,212.0,200.0,4.0,0
41.0,8.0,3.0,4.0,134.0,784.97,0.06,17.42,45.07,13671.55,0.26,759.53,37.0,8.0,4.0,21.0,22.0,36.0,77.0,57.0,14.0,0
6.0,1.0,1.0,1.0,16.0,50.72,0.23,4.38,11.59,221.89,0.02,12.33,4.0,0.0,2.0,2.0,5.0,4.0,9.0,7.0,1.0,0
6.0,1.0,1.0,1.0,16.0,50.72,0.23,4.38,11.59,221.89,0.02,12.33,4.0,0.0,2.0,2.0,5.0,4.0,9.0,7.0,1.0,0
9.0,1.0,1.0,1.0,31.0,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9.0,13.0,0.0,9.0,10.0,9.0,20.0,11.0,1.0,0
12.0,1.0,1.0,1.0,44.0,196.21,0.08,12.28,15.98,2409.08,0.07,133.84,12.0,5.0,0.0,7.0,13.0,9.0,27.0,17.0,1.0,0
123.0,27.0,8.0,27.0,388.0,2707.18,0.02,42.84,63.2,115969.02,0.9,6442.72,122.0,6.0,1.0,30.0,46.0,80.0,239.0,149.0,36.0,0
24.0,4.0,1.0,4.0,109.0,602.07,0.06,16.14,37.27,9725.72,0.2,540.32,24.0,1.0,0.0,9.0,20.0,26.0,67.0,42.0,5.0,0
24.0,8.0,3.0,2.0,136.0,660.69,0.02,43.21,15.29,28547.12,0.22,1585.95,24.0,0.0,0.0,0.0,17.0,12.0,75.0,61.0,15.0,0
19.0,5.0,1.0,5.0,111.0,590.73,0.08,13.0,45.44,7679.54,0.2,426.64,19.0,0.0,0.0,1.0,13.0,27.0,57.0,54.0,9.0,0
15.0,2.0,1.0,2.0,62.0,287.92,0.09,11.39,25.27,3280.22,0.1,182.23,15.0,0.0,0.0,2.0,11.0,14.0,33.0,29.0,3.0,0
0.0,2.0,1.0,1.0,12.0,38.04,0.25,4.0,9.51,152.16,0.01,8.45,0.0,0.0,0.0,0.0,6.0,3.0,8.0,4.0,3.0,0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
6.0,4.0,4.0,2.0,35.0,153.73,0.13,7.7,19.97,1183.73,0.05,65.76,6.0,0.0,0.0,3.0,11.0,10.0,21.0,14.0,7.0,0
27.0,9.0,9.0,5.0,98.0,494.35,0.08,12.68,39.0,6265.89,0.16,348.11,27.0,3.0,0.0,11.0,13.0,20.0,59.0,39.0,17.0,0
17.0,5.0,5.0,3.0,61.0,302.21,0.09,10.78,28.03,3258.16,0.1,181.01,17.0,3.0,0.0,0.0,15.0,16.0,38.0,23.0,9.0,0
32.0,3.0,1.0,1.0,239.0,1434.0,0.06,15.4,93.12,22083.6,0.48,1226.87,32.0,21.0,0.0,48.0,14.0,50.0,129.0,110.0,5.0,0
32.0,3.0,1.0,1.0,252.0,1534.04,0.06,17.85,85.96,27376.73,0.51,1520.93,31.0,21.0,1.0,48.0,16.0,52.0,136.0,116.0,5.0,0
63.0,6.0,1.0,4.0,182.0,1133.65,0.15,6.87,164.89,7793.81,0.38,432.99,61.0,50.0,2.0,27.0,11.0,64.0,102.0,80.0,11.0,0
4.0,1.0,1.0,1.0,16.0,59.21,0.24,4.08,14.5,241.76,0.02,13.43,4.0,0.0,0.0,1.0,7.0,6.0,9.0,7.0,1.0,0
11.0,2.0,1.0,1.0,17.0,53.89,0.25,4.0,13.47,215.55,0.02,11.98,11.0,0.0,0.0,1.0,6.0,3.0,13.0,4.0,3.0,0
7.0,2.0,1.0,2.0,24.0,96.0,0.22,4.5,21.33,432.0,0.03,24.0,6.0,3.0,1.0,4.0,8.0,8.0,15.0,9.0,3.0,0
25.0,6.0,4.0,2.0,175.0,1016.29,0.05,18.95,53.64,19255.97,0.34,1069.78,23.0,13.0,2.0,8.0,18.0,38.0,95.0,80.0,11.0,0
4.0,1.0,1.0,1.0,11.0,34.87,0.25,4.0,8.72,139.48,0.01,7.75,4.0,0.0,0.0,0.0,6.0,3.0,7.0,4.0,1.0,0
21.0,7.0,1.0,6.0,139.0,763.37,0.05,18.48,41.3,14109.14,0.25,783.84,21.0,0.0,0.0,1.0,16.0,29.0,72.0,67.0,13.0,0
11.0,2.0,1.0,2.0,34.0,141.78,0.16,6.4,22.15,907.38,0.05,50.41,11.0,0.0,0.0,1.0,8.0,10.0,18.0,16.0,3.0,0
0.0,2.0,1.0,1.0,12.0,38.04,0.25,4.0,9.51,152.16,0.01,8.45,0.0,0.0,0.0,0.0,6.0,3.0,8.0,4.0,3.0,0
66.0,28.0,22.0,17.0,366.0,2358.12,0.02,46.25,50.98,109073.64,0.79,6059.65,66.0,7.0,0.0,8.0,32.0,55.0,207.0,159.0,52.0,0
40.0,9.0,1.0,5.0,247.0,1508.81,0.03,31.25,48.28,47150.17,0.5,2619.45,40.0,3.0,0.0,17.0,25.0,44.0,137.0,110.0,17.0,0
42.0,6.0,1.0,3.0,242.0,1386.16,0.03,38.68,35.84,53612.97,0.46,2978.5,40.0,16.0,2.0,14.0,22.0,31.0,133.0,109.0,11.0,0
16.0,1.0,1.0,1.0,67.0,294.29,0.21,4.69,62.78,1379.46,0.1,76.64,16.0,1.0,0.0,2.0,5.0,16.0,37.0,30.0,1.0,0
5.0,2.0,1.0,1.0,18.0,68.53,0.17,6.0,11.42,411.19,0.02,22.84,5.0,1.0,0.0,2.0,8.0,6.0,9.0,9.0,3.0,0
19.0,5.0,5.0,3.0,70.0,346.79,0.09,11.53,30.08,3998.33,0.12,222.13,19.0,4.0,0.0,0.0,14.0,17.0,42.0,28.0,9.0,0
28.0,5.0,1.0,5.0,113.0,605.4,0.06,17.35,34.89,10506.27,0.2,583.68,28.0,10.0,0.0,6.0,17.0,24.0,64.0,49.0,6.0,0
28.0,5.0,1.0,5.0,113.0,605.4,0.06,17.35,34.89,10506.27,0.2,583.68,28.0,10.0,0.0,6.0,17.0,24.0,64.0,49.0,6.0,0
17.0,3.0,1.0,1.0,40.0,180.94,0.11,8.73,20.73,1579.13,0.06,87.73,17.0,7.0,0.0,5.0,12.0,11.0,24.0,16.0,5.0,0
9.0,1.0,1.0,1.0,25.0,92.51,0.5,2.0,46.26,185.02,0.03,10.28,9.0,0.0,0.0,2.0,4.0,9.0,16.0,9.0,1.0,0
35.0,7.0,3.0,6.0,167.0,956.56,0.04,27.98,34.18,26767.81,0.32,1487.1,33.0,25.0,2.0,23.0,23.0,30.0,94.0,73.0,13.0,0
